Point cloud,Num points,knn time,frnn bf time,frnn grid time,frnn grid search time
Armadillo.ply,172974,171.35,113.24,80.71,61.49
bun_zipper.ply,35947,11.27,5.84,7.31,3.08
bun_zipper_res2.ply,8171,1.49,0.86,1.64,0.36
bun_zipper_res3.ply,1889,0.49,0.25,0.94,0.14
bun_zipper_res4.ply,453,0.32,0.10,0.98,0.09
dragon_vrip.ply,437645,1075.49,742.11,308.84,243.82
dragon_vrip_res2.ply,100250,62.38,40.16,24.83,13.67
dragon_vrip_res3.ply,22998,4.80,3.33,4.61,1.67
dragon_vrip_res4.ply,5205,1.30,0.71,1.63,0.41
drill_shaft_vrip.ply,1961,0.62,0.34,0.80,0.22
drill_shaft_zip.ply,881,0.35,0.21,0.72,0.21
happy_vrip.ply,543652,1676.74,1183.09,439.00,360.02
happy_vrip_res2.ply,144647,127.78,74.12,41.37,26.66
happy_vrip_res3.ply,32328,10.79,5.63,6.69,3.09
happy_vrip_res4.ply,7108,1.50,0.82,1.63,0.50
random_10000,10000,1.93,1.08,1.85,0.26
random_100000,100000,57.38,38.29,18.90,8.08
random_1000000,1000000,5678.31,4160.50,1079.70,934.11
